ID	NAZWA	NAZWA_DOD	SUBSTANCJE
RPL:14266	Korzeń Kozłka	Valerianae radix	Valerianae radix
RPL:14270	Liść Mięty pieprzowej	Menthae piperitae folium	Menthae piperitae folium
RPL:14271	Liść Melisy	Melissae folium	Melissae folium
RPL:14272	Liść Szałwii	Salviae folium	Salviae folium
RPL:14273	Owoc Róży	Rosae fructus	Rosae pseudo-fructus
RPL:14275	Kwiat Bzu czarnego	Sambuci flos	Sambuci flos
RPL:14276	Betaserc	Betahistini dihydrochloridum
RPL:14279	Kłącze Pięciornika	Tormentillae rhizoma	Tormentillae rhizoma
RPL:14289	Xotepic	Pantoprazolum	Pantoprazolum
RPL:14292	Maść tranowa	Oleum Iecoris asellii ungentum	Oleum Jecoris Aselli
RPL:14295	Spirytusowy roztwór jodu	Iodi solutio spirituosa	Iodum	Kalium iodatum
RPL:14297	Magnezu siarczan	Magnesii sulfas	Magnesii sulfas
RPL:14298	Nalewka kozłkowa	Valerianae tinctura	Valerianae tinctura
RPL:14300	Płyn Burowa	Aluminii subacetatis solutio	kwas octowy lodowaty	Aluminii sulfas	Calcii carbonas praecipitatus
RPL:14301	Bizmutu galusan zasadowy Hasco	Bismuthi subgallas	Bismuthi subgallas
RPL:14304	Oleum Ricini PhytoPharm	Ricini oleum	Ricini oleum
RPL:14307	Potasu nadmanganian	Kalii permanganas	Kalii permanganas
RPL:14313	Glukoza	Glucosum anhydricum	Glucosum
RPL:14314	Petroleum D5	Preparat homeopatyczny	Petroleum 4CH
RPL:14315	Korzeń Lukrecji	Liquiritiae radix	Liquiritiae radix
RPL:14317	Maść z sulfobituminianem amonowym	Ammonii bituminosulfonatis unguentum	Ammonii bituminosulfonas
RPL:14322	Ketilept 100 mg	Quetiapinum	Quetiapini fumaras
RPL:14326	Sodu wodorowęglan Hasco	Natrii hydrogenocarbonas	Natrii hydrogenocarbonas
RPL:14327	Lorista	Losartanum kalicum
RPL:14328	Korzeń Lubczyka	Levistici radix	Levistici radix
RPL:14330	Canderox	Candesartanum cilexetili	Candesartanum cilexetili
RPL:14331	Nevanac	Nepafenacum
RPL:14332	Nasienie Kozieradki	Trigonellae foenugraeci semen	Trigonellae foenugraeci semen
RPL:14333	Nasienie Lnu	Lini semen	Lini Semen
RPL:14334	Kwiat Dziewanny	Verbasci flos	Verbasci flos
RPL:14336	Owoc Kminku	Carvi fructus	Carvi fructus
RPL:14338	Korzeń Rzewienia	Rhei radix	Rhei radix
RPL:14340	Kwiat Lawendy	Lavandulae flos	Lavandulae flos
RPL:14344	Gliceryna	Glycerolum 85%	Glycerolum
RPL:14348	Metizol	Thiamazolum
RPL:14349	Korzeń Goryczki	Gentianae radix	Gentianae radix
RPL:14351	Koszyczek Arniki	Arnicae anthodium	Arnica anthodium
RPL:14353	Pasta cynkowa z kwasem salicylowym	Zinci salicylatis pasta	Acidum salicylicum	Zinci oxidum
RPL:14354	Olej kamforowy	Oleum camphoratum	Camphorum
RPL:14356	Noxafil	Posaconazolum	Posaconazolum
RPL:14358	Fosavance	Natrii alendronas + Cholecalciferolum	Natrii alendronas trihydricus	Colecalciferolum
RPL:14363	Kwiat Wiązówki	Ulmariae flos	Ulmariae flos
RPL:14366	Avenoc	Preparat homeopatyczny	Paeonia officinalis	Ratanhia	Aesculus hippocastanum	Hamamelis
RPL:14367	Avenoc	Preparat homeopatyczny	Ficaria verna TM	Paeonia officinalis	Adrenalinum	Chlowodorek amyleiny
RPL:14374	Olej kamforowy	Oleum camphoratum	Camphorum
RPL:14398	Betaserc	Betahistini dihydrochloridum
RPL:14399	Temozolomide Glenmark	Temozolomidum	Temozolomidum
RPL:14423	Wodoru nadtlenek 3%	Hydrogenii peroxidum	Hydrogenii peroxidum
RPL:14441	Nalewka kozłkowa	Valerianae tinctura	Valerianae tinctura
RPL:14452	Syrop z sulfogwajakolem Aflofarm	Sulfogaiacoli sirupus	Sulfogaiacolum
RPL:14483	Olej kamforowy Aflofarm	Oleum camphoratum	Camphorum
RPL:14492	Prestarium 10 mg	Perindoprilum argininum	Perindoprilum argininum
RPL:14506	Budesonide Easyhaler	Budesonidum	Budesonidum
RPL:14507	Budesonide Easyhaler	Budesonidum	Budesonidum
RPL:14508	Budesonide Easyhaler	Budesonidum	Budesonidum
RPL:14510	Lorista H	Losartanum kalicum + Hydrochlorothiazidum	Hydrochlorothiazidum	Losartanum kalicum
RPL:14511	Formoterol Easyhaler	Formoteroli fumaras dihydricus	Formoteroli fumaras
RPL:14512	GlimeHexal 1	Glimepiridum	Glimepiridum
RPL:14513	GlimeHexal 2	Glimepiridum	Glimepiridum
RPL:14515	GlimeHexal 3	Glimepiridum	Glimepiridum
RPL:14516	Forlax 10 g	Macrogolum 4000	Macrogolum
RPL:14518	Flector Tissugel	Diclofenacum epolaminum	Diclofenacum epolaminum
RPL:14519	Prestarium 2,5 mg	Perindoprilum argininum	Perindoprilum argininum
RPL:14520	Prestarium 5 mg	Perindoprilum argininum	Perindoprilum argininum
RPL:14524	Axtil	Ramiprilum	Ramiprilum
RPL:14526	Axtil	Ramiprilum	Ramiprilum
RPL:14527	Axtil	Ramiprilum	Ramiprilum
RPL:14529	Virgan 1,5 mg/g żel do oczu	Ganciclovirum	Ganciclovirum
RPL:14532	GlimeHexal 4	Glimepiridum	Glimepiridum
RPL:14533	GlimeHexal 6	Glimepiridum	Glimepiridum
RPL:14534	Torvacard 10	Atorvastatinum	Atorvastatinum
RPL:14535	Torvacard 20	Atorvastatinum	Atorvastatinum
RPL:14536	Torvacard 40	Atorvastatinum	Atorvastatinum
RPL:14537	Gabapentin Teva	Gabapentinum	Gabapentinum
RPL:14539	Fludara Oral	Fludarabini phosphas	Fludarabini phosphas
RPL:14540	Metafen	Ibuprofenum + Paracetamolum	Ibuprofenum	Paracetamolum
RPL:14543	Gabapentin Teva	Gabapentinum	Gabapentinum
RPL:14544	Carteol LP 2%	Carteololi hydrochloridum	Carteololi hydrochloridum
RPL:14548	Carvedilolum 123ratio	Carvedilolum	Carvedilolum
RPL:14549	Carvedilolum 123ratio	Carvedilolum	Carvedilolum
RPL:14554	Betaserc	Betahistini dihydrochloridum	Betahistini dihydrochloridum
RPL:14556	Cymbalta	Duloxetinum	Duloxetinum
RPL:14557	Cymbalta	Duloxetinum
RPL:14558	Ranexa	Ranolazinum	Ranolazinum
RPL:14559	Pentohexal 600 retard	Pentoxifyllinum	Pentoxifyllinum
RPL:14560	Efferalgan Codeine	Paracetamolum + Codeini phosphas	Paracetamolum	Codeini phosphas
RPL:14561	Chinoplus	Prulifloxacinum	prulifloxacinum
RPL:14562	Prixina	Prulifloxacinum	prulifloxacinum
RPL:14563	ZolpiGen	Zolpidemi tartras	Zolpidemi tartras
RPL:14567	Gabapentin Teva	Gabapentinum	Gabapentinum
RPL:14569	Gabapentin Teva	Gabapentinum	Gabapentinum
RPL:14570	Gabapentin Teva	Gabapentinum	Gabapentinum
RPL:14571	Puregon	Follitropinum beta
RPL:14572	Puregon	Follitropinum beta
RPL:14579	Maść z tlenkiem cynku GEMI	Zinci oxidi unguentum	Zinci oxidum
RPL:14580	Pasta cynkowa z kwasem salicylowym GEMI	Zinci salicylatis pasta	Acidum salicylicum	Zinci oxidum
RPL:14581	Dermatol	Bismuthi subgallas	Bismuthi subgallas
RPL:14582	Ventavis	Iloprostum	Iloprostum
RPL:14585	Glukoza Laboratorium Galenowe Olsztyn	Glucosum anhydricum	Glucosum
RPL:14593	Zolsana	Zolpidemi tartras	Zolpidemi tartras
RPL:14596	Nux vomica complexe Lehning Nr 49	Preparat homeopatyczny	Bryonia	Robinia pseudo-acacia D4	Nux vomica	China rubra D3	Ipeca 3CH	Sulfur	Arsenicum album	Pulsatilla
RPL:14605	Berberis Complexe Lehning Nr 83	Preparat homeopatyczny	Pulsatilla	Berberis vulgaris	Acidum oxalicum	Colchicum autumnale	Colocynthis D3	Betulae folium	Ononis spinosa D2	Natrium sulfuricum D2	Gnaphalium polycephalatum D2	Terebinthinan D3
RPL:14606	Fucus Complexe Lehning Nr 111	Preparat homeopatyczny	Alchemilla vulgaris D2	Fucus	Antimonium crudum	Thyroidinum D8	Calcarea acetica D2
RPL:14608	Mercurius Solubilis Complexe Lehning Nr 39	Preparat homeopatyczny	Mercurius bijodatus D8	Aurum muriaticum natronatum D8	Kalii iodidum	Sodium nitrate D6	Natrii sulfas anhydricum	Dipotassium phosphate D6
RPL:14611	Senes Phytopharm	Sennae folium	Sennae folium
RPL:14624	Matrifen 12 mikrogramów/godzinę system trandermalny	Fentanylum	Fentanylum
RPL:14628	Krople walerianowe 	Valerianae tinctura	Valerianae radix
RPL:14630	Plaster nostrzykowy GEMI	Meliloti emplastrum	Meliloti herba
RPL:14632	Owoc Borówki czernicy	Myrtilli fructus	Myrtilli fructus siccus
RPL:14638	Euphorbium S	Preparat homeopatyczny	Euphorbium	Pulsatilla	Hepar sulfuris	Argentum nitricum	Luffa operculata	Mercurius bijodatus D8	Mucosa nasalis suis D8	Sinusitis-Nosode D13
RPL:14639	Woda utleniona	Hydrogenii peroxidum	Hydrogenii peroxidum
RPL:14641	Magnezu siarczan GEMI	Magnesii sulfas	Magnesii sulfas
RPL:14648	Euphorbium SN	Preparat homeopatyczny	Pulsatilla	Luffa operculata	Hydrargyrum biiodatum	Hepar sulfuris	Argentum nitricum	Euphorbium
RPL:14666	Spirytus kamforowy	Camphorae spiritus	Camphorum	Ethanolum
RPL:14667	Owoc Kopru włoskiego	Foeniculi fructus	Foeniculi amari fructus
RPL:14668	Ezen	Ezetimibum	Ezetimibum
RPL:14669	Gliceryna 85%	Glycerolum 85%	Glicerolum 99	5%
RPL:14671	Nervoheel N	Preparat homeopatyczny	Sepia officinalis D1000	Strychnos ignati D4	Acidum phosphoricum	Kalium bromatum 9CH	Zincum valerianicum D4
RPL:14672	Koper włoski fix	Foeniculi fructus	Foeniculi fructus
RPL:14676	Truvada	Emtricitabinum + Tenofoviri disoproxilum	Emtricitabinum	Tenofoviri disoproxilum
RPL:14680	Spirytus salicylowy	Spiritus salicylatus	Acidum salicylicum	Ethanolum
RPL:14684	Homeomag	Preparat homeopatyczny	Magnesia muriatica D1	Magnesia bromata D4	Magnesia phosphorica D1	Plumbum metallicum D8	Kalium phosphoricum D5	Ambra grisca
RPL:14688	Oculoheel Lux	Preparat homeopatyczny	Euphrasia D2	Cochlearia officinalis D5	Jaborandi D5	Echinacea
RPL:14689	Oculoheel	Preparat homeopatyczny	Hydrargyrum sulfuratum nigrum	Apis mellifica	Toxicodendron quercifolium	Hepar sulfuris	Spigelia anthelmia	Delphinium staphisagria
RPL:14690	Viburcol Compositum	Preparat homeopatyczny	Pulsatilla	Chamomilla recutita	Atropa belladonna D1	Plantago major	Calcium
RPL:14692	Vertigoheel	Preparat homeopatyczny	Petroleum 4CH	Anamirta cocculus D4	Conium maculatum
RPL:14693	Traumeel S	Preparat homeopatyczny	Mercurius bijodatus D8	Atropa belladonna D1	Arnica montana	Calendula officinalis	Hamamelis	Achillea millefolium	Aconitum napellus	Hepar sulfuris	Chamomilla recutita	Symphytum officinale 2CH-200 CH; 6K-CMK	Bellis perennis	Echinacea	Echinacea	Hypericum perforatum
RPL:14695	Traumeel S	Preparat homeopatyczny	Mercurius bijodatus D8	Atropa belladonna D1	Arnica montana	Calendula officinalis	Hamamelis	Achillea millefolium	Aconitum napellus	Hepar sulfuris	Chamomilla recutita	Symphytum officinale 2CH-200 CH; 6K-CMK	Bellis perennis	Echinacea	Echinacea	Hypericum perforatum
RPL:14696	Nalewka z koszyczka arniki	Arnicae tinctura	Arnicae tinctura
RPL:14698	Traumeel S	Preparat homeopatyczny	Achillea millefolium	Bellis perennis	Arnica montana	Calendula officinalis	Hypericum perforatum	Hepar sulfuris	Echinacea	Mercurius bijodatus D8	Hamamelis	Echinacea	Chamomilla recutita	Symphytum officinale 2CH-200 CH; 6K-CMK	Aconitum napellus	Atropa belladonna D1
RPL:14700	Krople walerianowe	Valerianae tinctura	Valerianae tinctura
RPL:14703	Nalewka gorzka	Amara tinctura	Extractum compositum (1:5) ex Gentianae radice	 Menyanthidis folio	 Aurantii amari pericarpio
RPL:14704	Ziele Fiołka trójbarwnego	Violae tricoloris herba	Violae tricoloris herba
RPL:14705	Procoralan	Ivabradinum
RPL:14706	Procoralan	Ivabradinum
RPL:14707	Nalewka miętowa	Menthae piperitae tinctura	Menthae piperitae tinctura
RPL:14710	Spirytusowy roztwór jodu	Iodi solutio spirituosa	Iodum	Kalii iodidum	Ethanolum
RPL:14711	Spirytusowy roztwór jodu	Iodi solutio spirituosa	Iodum	Kalii iodidum
RPL:14712	Krople nasercowe	Convallariae tinctura titrata + Crataegi tinctura + Valerianae tinctura	Convallariae tinctura titrata	Crataegi tinctura	Valerianae tinctura
RPL:14713	Krople uspokajające	Guttae sedativae	Korzen Arcydziegla	Valerianae radix	Lavandulae flos	Lupuli strobilus	Melissae herba
RPL:14714	Czopki glicerolowe Laboratorium Galenowe Olsztyn	Glyceroli suppositoria	Glycerolum
RPL:14716	Canderox	Candesartanum cilexetili	Candesartanum cilexetili
RPL:14720	Theraflu ExtraGRIP	Paracetamolum + Phenylephrini hydrochloridum + Pheniramini maleas	Paracetamolum	Phenylephrini hydrochloridum	Pheniramini maleas
RPL:14721	Theraflu Zatoki	Paracetamolum + Phenylephrini hydrochloridum	Paracetamolum	Phenylephrini hydrochloridum
RPL:14722	Revlimid	Lenalidomidum	Lenalidomidum
RPL:14725	Spirytus mrówczany	Spiritus formicicus	Acidum formicicum
RPL:14726	Myconafine	Terbinafinum	Terbinafini hydrochloridum
RPL:14728	Xentic	Zolpidemi tartras	Zolpidemi tartras
RPL:14729	Neupogen	Filgrastimum	Filgrastimum
RPL:14730	Neupogen	Filgrastimum	Filgrastimum
RPL:14734	Neupogen	Filgrastimum	Filgrastimum
RPL:14735	Aminomix 1 Novum	Produkt złożony
RPL:14738	Krople miętowe	Menthae piperitae tinctura	Menthae piperitae folium	Menthae piperitae aetheroleum
RPL:14740	Carvedigamma 25 mg	Carvedilolum	Carvedilolum
RPL:14741	Carvedigamma 12,5 mg	Carvedilolum	Carvedilolum
RPL:14742	Carvedigamma 6,25 mg	Carvedilolum	Carvedilolum
RPL:14743	Aqua pro injectione Baxter	Aqua pro iniectione	Aqua ad iniectabilia
RPL:14748	Novofem	Estradiolum, Estradiolum + Norethisteroni acetas	Norethisteroni acetas	Estradiolum
RPL:14750	Sevoflurane Baxter	Sevofluranum	Sevofluranum
RPL:14752	Hexvix	Hexylis aminolevulinatis hydrochloridum	Hexylis aminolevulinatis hydrochloridum
RPL:14754	Glipid	Glimepiridum	Glimepiridum
RPL:14755	Glipid	Glimepiridum	Glimepiridum
RPL:14756	Glipid	Glimepiridum	Glimepiridum
RPL:14757	Glipid	Glimepiridum	Glimepiridum
RPL:14759	Matrifen 100 mikrogramów/godzinę system transdermalny	Fentanylum	Fentanylum
RPL:14760	Mircera	Methoxypolyethylene glycolum-epoetinum beta	Methoxypolyethylene glycolum-epoetinum beta
RPL:14761	Infanrix-IPV	Szczepionka przeciw błonicy, tężcowi, krztuścowi (bezkomórkowa, złożona) i poliomyelitis (inaktywowana), adsorbowana	Toksoid tężcowy	Toksoid błoniczy	inaktywowany poliowirus typ 1	inaktywowany poliowirus typ 2	inaktywowany poliowirus typ 3	Aluminii hydroxidum	antygeny krztuścowe (toksoid krztuścowy	 hemaglutynina włókienkowa	 perlaktyna)
RPL:14766	Subcuvia	Immunoglobulinum humanum normale	Immunoglobulin human
RPL:14767	Dilizolen	Linezolidum	Linezolidum
RPL:14775	Rasilez	Aliskirenum	Aliskirenum
RPL:14777	Glypressin	Terlipressini acetas	Terlipressini acetas
RPL:14781	Curacne 5 mg	Isotretinoinum	Isotretinoinum
RPL:14782	Curacne 20 mg	Isotretinoinum	Isotretinoinum
RPL:14783	Curacne 10 mg	Isotretinoinum	Isotretinoinum
RPL:14789	Propofol 1% MCT/LCT Fresenius	Propofolum	Propofolum
RPL:14790	Propofol 2% MCT/LCT Fresenius	Propofolum	Propofolum
RPL:14791	Xyzal	Levocetirizini dihydrochloridum	Levocetirizini dihydrochloridum
RPL:14793	Maść cynkowa	Zinci oxidi unguentum	Zinci oxidum
RPL:14799	Spirytus kamforowy	Camphorae spiritus	Camphorum	Ethanolum
RPL:14804	Spirytus salicylowy	Spiritus salicylatus	Acidum salicylicum
RPL:14806	Natrium chloratum 0,9% Baxter	Natrii chloridum	Natrii chloridum
RPL:14808	Revlimid	Lenalidomidum	Lenalidomidum
RPL:14812	Maść kamforowa GEMI	Camphorae unguentum	Camphorum
RPL:14814	Spirytus kamforowy	Camphorae spiritus	Camphorum
RPL:14815	Maść majerankowa GEMI	Majoranae unguentum	Majoranae herba extractum
RPL:14816	Nasienie Lnu	Lini semen	Lini Semen
RPL:14818	Maść majerankowa Aflofarm	Majoranae unguentum	Majoranae herba extractum
RPL:14819	Mucokehl D5	Preparat homeopatyczny	Mucor mucedo D5
RPL:14820	Tranxene	Dikalii clorazepas
RPL:14839	Dr Reckeweg R25	Preparat homeopatyczny	Populus candicans	Conium maculatum	Ferrum picrinicum D12	Pareira brava D2	Pulsatilla	Chimaphila umbellata D3	Serenoa repens
RPL:14840	Gargarisma prophylacticum	Gargarisma prophylacticum
RPL:14848	Gargarisma prophylacticum	Gargarisma prophylacticum	Acidum benzoicum	Acidum salicylicum	Eucalypti aetheroleum	Menthae piperitae oleum	Thymolum
RPL:14850	Kalium hypermanganicum Galena	Kalii permanganas	Kalii permanganas
RPL:14852	Krople nasercowe Cardiacol	Guttae cardiacae	Convallariae tinctura	Crataegi tinctura	Valerianae tinctura
RPL:14853	Krople uspokajające spokojne	Guttae sedativae	Extractum compositum (1:2) ex
RPL:14858	Ospamox 250 mg/5 ml	Amoxicillinum	Amoxicillinum
RPL:14859	Dukoral	Szczepionka przeciw cholerze
RPL:14860	Nervosol K	Produkt ziołowy	Angelicae radix	Lavandulae flos	Melissae herba	Valerianae radix	Lupuli strobilus
RPL:14864	Ibuprofen Aflofarm	Ibuprofenum	Ibuprofenum
RPL:14881	Skrzyp Fix	Equiseti herba	Equiseti herba
RPL:14882	Mircera	Methoxypolyethylene glycolum-epoetinum beta	Methoxypolyethylene glycolum-epoetinum beta
RPL:14885	Spirytus salicylowy 2% GEMI	Spiritus salicylatus	Acidum salicylicum	Ethanolum
RPL:14886	Ziele Krwawnika	Millefolii herba	Millefolii herba
RPL:14887	Dziurawiec fix	Hyperici herba	Hyperici herba
RPL:14888	Spirytusowy roztwór jodu Gemi	Iodi solutio spirituosa	Iodum	Kalii iodidum	Ethanolum
RPL:14889	Rumianek fix	Chamomillae anthodium	Chamomillae anthodium
RPL:14891	Kwiatostan Lipy	Tiliae inflorescentia	Tiliae inflorescentia
RPL:14897	Cralonin	Preparat homeopatyczny	Spigelia anthelmia	Crataegus	Kalium carbonicum
RPL:14901	Liść Mięty pieprzowej/Mięta Fix	Menthae piperitae folium	Menthae piperitae folium
RPL:14902	Liść Melisy	Melissae folium	Melissae folium
RPL:14904	Nalewka gorzka	Amara tinctura	Gentianae radix
RPL:14905	Cimicifuga - Homaccord	Preparat homeopatyczny	Cimicifuga racemosa	Strontium carbonicum	Aqua purificata	Ethanolum 96%
RPL:14907	Podophyllum Compositum	Preparat homeopatyczny	Acidum hydrochloridum	Podophyllum peltatum D4	Strychnos ignati D4	Hydrargyrum bichloratum	Acidum hydrochloridum	Podophyllum peltatum D10
RPL:14909	Drosera-Homaccord	Preparat homeopatyczny	Cuprum aceticum	Drosera	Drosera	Drosera	Drosera	Cuprum aceticum	Cuprum aceticum	Cuprum aceticum
RPL:14912	Belladonna-Homaccord	Preparat homeopatyczny
RPL:14920	Tartephedreel N	Preparat homeopatyczny
RPL:14922	Firmagon	Degarelixum	Degarelix
RPL:14931	Graphites-Homaccord	Preparat homeopatyczny	Calcium	Graphites D10	Graphites D10	Graphites D10	Calcium	Calcium
RPL:14934	Ignatia-Homaccord	Preparat homeopatyczny
RPL:14935	Husteel	Preparat homeopatyczny	Belladonna	Arsenum iodatum D8	Scilla D4	Cuprum aceticum	Causticum Hahnemanni
RPL:14940	Mercurius-Heel S	Preparat homeopatyczny	Hepar sulfuris	Lachesis D11	Phytolacca americana D2	Echinacea	Atropa belladonna D1	Mercurius bijodatus D8	Ailanthus glandulosa D3
RPL:14941	Spirytus salicylowy 2%	Spiritus salicylatus	Ethanolum	Acidum salicylicum
RPL:14942	Spirytus mrówczany GEMI	Spiritus formicicus	Acidum formicicum
RPL:14943	Maść z Ichtamolem	Ammonii bituminosulfonatis unguentum	Ammonii bituminosulfonas
RPL:14949	Fluimucil Forte	Acetylcysteinum
RPL:14951	Oscillococcinum	Homeopatyczny produkt leczniczy	Anas barbariae hepatis et cordis extractum
RPL:14954	Stodal	Homeopatyczny produkt leczniczy	Rumex crispus	Myocardium 6CH	Antimonium tartaricum 6CH	Bryonia	Ipeca 3CH	Pulsatilla	Coccus cacti 3CH	Spongia tosta	Sticta pulmonaria 3CH
RPL:14955	Nasiona lnu	Lini semen	Lini Semen
RPL:14956	Homeovox	Homeopatyczny produkt leczniczy	Aconitum napellus	Arum triphyllum	Ferrum phosphoricum	Calendula officinalis	Spongia tosta	Belladonna	Mercurius solubilis Hahnemanni	Hepar sulfur calcareum	Kalium bichromicum	Populus candicans	Bryonia
RPL:14957	Owoc Borówki czernicy	Myrtilli fructus	Myrtilli fructus
RPL:14959	Sedatif PC	Homeopatyczny produkt leczniczy	Aconitum napellus	Belladonna	Calendula officinalis	Chelidonium majus	Abrus precatorius 6CH	Viburnum opulus
RPL:14961	Paragrippe	Preparat homeopatyczny	Arnica montana	Eupatorium cannabinum ex herba ferm 33c	Gelsemium	Sulfur	Belladonna
RPL:14962	Canderox	Candesartanum cilexetili	Candesartanum cilexetili
RPL:14963	Homeoplasmine	Preparat homeopatyczny	Phytolacca decandra TM	Calendula officinalis TM	Bryonia	Bonzoe TM	Acidum boricum
RPL:14967	Stodal	Homeopatyczny produkt leczniczy	Anemone pulsatilla	Rumex crispus	Spongia tosta	Antimonium tartaricum 6CH	Myocardium 6CH	Coccus cacti 3CH	Pulsatilla	Bryonia	Ipeca 3CH	Stica pulmonaria 3CH	Drosera	Mycardium 6CH
RPL:14979	Implanon NXT	Etonogestrelum	Etonogestrelum
RPL:14980	Maść majerankowa	Majoranae unguentum	Majoranae herba extractum
RPL:14981	Dr Reckeweg R2	Preparat homeopatyczny	Aconitum napellus	Arnica montana	Aurum chloratum natronatum	Selenicereus grandiflorus	Crataegus	Ethanolum
RPL:14982	Bronchalis-Heel	Preparat homeopatyczny	Atropa belladonna D1	Bryonia	Cephaelis ipecacuanha D4	Kreosotum D5	Lobelia inflata	Lobaria pulmonaria	Kalium stibyltartaricum D2	Hyoscyamus niger 9 CH
RPL:14989	Dr Reckeweg R55	Preparat homeopatyczny	Arnica montana	Calendula officinalis	Hamamelis	Toxicodendron quercifolium	Ruta graveolens	Symphytum officinale 2CH-200 CH; 6K-CMK	Ethanolum
RPL:14993	Dr Reckeweg R4	Preparat homeopatyczny
RPL:14996	Nasivin 0,025 %	Oxymetazolini hydrochloridum
RPL:14997	Dr Reckeweg R5	Preparat homeopatyczny	Atropa belladonna D1	Carbo vegetabilis	Chamomilla recutita	Lycopodium clavatum	Ethanolum	Semecarpus anacardium D6
RPL:14998	Dr Reckeweg R6	Preparat homeopatyczny	Toxicodendron quercifolium	Ranunculus bulbosus	Citrullus colocynthis	Arsenicum album	Bryonia
RPL:15000	Dr Reckeweg R9	Preparat homeopatyczny	Atropa belladonna D1	Cuprum aceticum	Drosera	Lobaria pulmonaria	Ethanolum
RPL:15003	Spascupreel	Preparat homeopatyczny	Citrullus colocynthis	Ammonium bromatum	Atropini sulfas	Veratrum D8	Magnesium phosphoricum D6 trit.	Gelsemium	Amanita muscaria D4	Chamomilla recutita	Cuprum sulfuricum D6	Aconitum napellus	Passiflora incarnata
RPL:15005	Maść pięciornikowa złożona	Tormentillae extractum fluidum +Ammonii bituminosulfonas + Zinci oxidum	Tormentillae extractum	Ammonii bituminosulfonas	Zinci oxidum
RPL:15010	Cocculine	Preparat homeopatyczny	Cocculus indicus 4CH	Nux vomica	Tabacum 4CH	Petroleum 4CH
RPL:15011	Gastrocynesine	Preparat homeopatyczny	Nux vomica	Abies nigra 4CH	Carbo vegetabilis	Robinia pseudo-acacia 4CH
RPL:15014	Homeogene 9	Preparat homeopatyczny	Mercurius bijodatus D8	Pulsatilla	Spongia tosta	Bryonia	Bromum	Belladonna	Phytolacca americana D2	Arum triphyllum	Arnica montana
RPL:15025	Coryzalia	Homeopatyczny produkt leczniczy	Allium cepa 3CH	Belladonna	Sabadilla	Kalium bichromicum	Gelsemium	Pulsatilla
RPL:15029	Canderox HCTZ	Candesartanum cilexetili + Hydrochlorothiazidum	Candesartanum cilexetili	Hydrochlorothiazidum
RPL:15030	Recombinate 250 IU/5 ml	Octocogum alfa. Czynnik VIII krzepnięcia krwi ludzki rekombinowany 	Octocog alfa (czynnik krzepnięcia VIII ludzki rDNA)	Natrii chloridum
RPL:15031	Betadine	Povidonum iodinatum
RPL:15033	Dr Reckeweg R11	Preparat homeopatyczny
RPL:15036	Dr Reckeweg R14	Preparat homeopatyczny	Avena sativa	Coffea arabica D12	Eschscholtziae extractum siccum	Humulus lupulus herba	Passiflora incarnata	Valerianae officinalis herba	Zincum isovalerianicum D12	Ethanolum
RPL:15041	Kwiatostan Głogu	Crataegi inflorescentia
RPL:15043	Duodopa	Levodopum + Carbidopum	Carbidopum	Levodopum
RPL:15056	Maść majerankowa	Majoranae unguentum	Majoranae herba	Ethanolum
RPL:15059	Olej kamforowy Laboratorium Galenowe Olsztyn	Oleum camphoratum	Camphorum
RPL:15063	Ziele Piołunu	Absinthii herba	Absinthii herba
RPL:15065	Ziele Fiołka trójbarwnego	Violae tricoloris herba	Violae tricoloris herba
RPL:15075	Koszyczek Nagietka	Calendulae anthodium	Calendulae anthodium
RPL:15077	Lupulina	Lupulinum	Lupulinum
RPL:15081	Hemocal	Preparat homeopatyczny	Calendula officinalis
RPL:15083	Maść arnikowa Arnimax	Preparat homeopatyczny	Arnica montana
RPL:15084	Maść nagietkowa Nagietex	Preparat homeopatyczny
RPL:15085	Maść na odleżyny	Preparat homeopatyczny	Calendula officinalis	Chamomilla recutita	Hamamelis
RPL:15086	Proktosanol, maść przeciw hemoroidom	Preparat homeopatyczny
RPL:15088	Glukoza	Glucosum anhydricum	Glucosum
RPL:15093	Spirytus skażony hibitanem 0,5% Amara	Chlorhexidini gluconas	Ethanolum	Chlorhexidini digluconas
RPL:15097	Insulin Human Winthrop Rapid	Insulinum humanum	Insulinum humanum
RPL:15098	Spirytus skażony hibitanem 0,5% Coel	Chlorhexidini digluconas + Ethanolum	Chlorhexidini digluconas	Ethanolum
RPL:15099	Koszyczek Nagietka	Calendulae anthodium	Calendulae anthodium
RPL:15125	Temozolomide Fair-Med	Temozolomidum	Temozolomidum
RPL:15127	Dr Reckeweg R44	Preparat homeopatyczny	Crataegus	Cytisus scoparius D2	Prunus laurocerasus D3	Nerium oleander D3
RPL:15131	Meditonsin	Preparat złożony	Aconitum	Atropini sulfas	Mercurius bijodatus D8
RPL:15142	Liść Pokrzywy	Urticae folium	Urticae folium
RPL:15145	Dr Reckeweg Pulsatilla compositum	Preparat homeopatyczny	Calcium	Pulsatilla	Hydrargyrum sulfuratum rubrum	Kalium bichromicum
RPL:15150	Koszyczek Rumianku	Chamomillae anthodium	Chamomillae anthodium
RPL:15176	Alendran 70	Acidum alendronicum	Acidum alendronicum
RPL:15186	Zioła do zmniejszania nadwagi	Species reducentes	Graminis rhizoma	Equiseti herba	Frangulae cortex	Taraxaci herba	Taraxaci radix
