icd10;text
G52.0;Zaburzenia nerwu węchowego
G52.1;Zaburzenia nerwu językowo-gardłowego
G52.2;Zaburzenia nerwu błędnego
G52.3;Zaburzenia nerwu podjęzykowego
G52.7;Zaburzenia wielu nerwów czaszkowych
G52.8;Zaburzenia innych określonych nerwów czaszkowych
G52.9;Zaburzenia nerwu czaszkowego, nieokreślone
G53.0;* Nerwoból po przebytym półpaścu (B02.0+)
G53.1;* Porażenia wielu nerwów czaszkowych w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej (A00-B99+)
G53.2;* Porażenia wielu nerwów czaszkowych w sarkoidozie (D86.8+)
G53.3;* Porażenia wielu nerwów czaszkowych w chorobach nowotworowych (C00-D48+)
G53.8;* Inne zaburzenia nerwów czaszkowych w innych chorobach sklasyfikowanych gdzie indziej
G54.0;Zaburzenia splotu ramiennego
G54.1;Zaburzenia splotu lędźwiowo-krzyżowego
G54.2;Zaburzenia korzeni nerwów rdzeniowych szyjnych niesklasyfikowanych gdzie indziej
G54.3;Zaburzenia korzeni nerwów rdzeniowych piersiowych niesklasyfikowanych gdzie indziej
G54.4;Zaburzenia korzeni nerwów rdzeniowych lędźwiowo-krzyżowych niesklasyfikowanych gdzie indziej
G54.5;Nerwoból z zanikiem mięśni
G54.6;Zespół bólu fantomowego kończyny z bólem
G54.7;Zespół bólu fantomowego kończyny bez bólu
G54.8;Inne zaburzenia korzeni nerwów rdzeniowych i splotów nerwowych
G54.9;Zaburzenia korzeni nerwów rdzeniowych i splotów nerwowych, nieokreślone
G55.0;Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w chorobach nowotworowych (c00-d48+)
G55.1;Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w zaburzeniach krążka międzykręgowego (m50-m51+)
G55.2;Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w zmianach zwyrodnieniowych kręgów (m47.-+)
G55.3;Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w innych (dolegliwościach kręgosłupa) dorsopatiach (m45-m46, m48.-+, m53-m54+)
G55.8;Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w innych chorobach sklasyfikowanych gdzie indziej
G56.0;Zespół cieśni nadgarstka
G56.1;Inne uszkodzenia nerwu pośrodkowego
G56.2;Uszkodzenie nerwu łokciowego
G56.3;Uszkodzenie nerwu promieniowego
G56.4;Kauzalgia
G56.8;Inne mononeuropatie kończyny górnej
G56.9;Mononeuropatie kończyny górnej nieokreślone
G57.0;Uszkodzenie nerwu kulszowego
G57.1;Zespół nerwu skórnego bocznego uda [neuralgia paraesthetica]
G57.2;Uszkodzenie nerwu udowego
G57.3;Uszkodzenie nerwu strzałkowego wspólnego
G57.4;Uszkodzenie nerwu piszczelowego
G57.5;Zespół kanału stępu
G57.6;Uszkodzenie nerwów podeszwy
G57.8;Inne mononeuropatie kończyny dolnej
G57.9;Mononeuropatia kończyny dolnej, nieokreślona
G58.0;Neuropatia międzyżebrowa
G58.7;Mnogie zapalenie pojedynczych nerwów
G58.8;Inne określone mononeuropatie
G58.9;Mononeuropatia, nieokreślona
G59.0;Mononeuropatia cukrzycowa (e10-e14+ zwykle ze wspólnym czwartym znakiem kodu .4)
G59.8;* Inne mononeuropatie w chorobach sklasyfikowanych gdzie indziej
G60.0;Dziedziczna neuropatia ruchowa i czuciowa
G60.1;Choroba refsuma
G60.2;Neuropatia z towarzyszącą dziedziczną ataksją
G60.3;Neuropatia samoistna postępująca
G60.4;Inne neuropatie dziedziczne i samoistne
G60.9;Neuropatia samoistna i dziedziczna, nieokreślona
G61.0;Zespół Gullaina-Barrego
G61.1;Neuropatia surowicza
G61.8;Inne polineuropatie zakaźne
G61.9;Polineuropatia zakaźna, nieokreślona
G62.0;Polineuropatia wywołana przez leki
G62.1;Polineuropatia alkoholowa
G62.2;Polineuropatia wywołana innymi czynnikami toksycznymi
G62.8;Inne określone polineuropatie
G62.9;Polineuropatia, nieokreślona
G63.0;Polineuropatia w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
G63.1;Polineuropatia w chorobach nowotworowych (c00-d48+)
G63.2;Polineuropatia cukrzycowa (e10-e14+ zwykle ze wspólnym czwartym znakiem kodu .4)
G63.3;Polineuropatia w innych chorobach układu wewnątrzwydzielniczego i metabolicznych (e00-e07+, e15-e16+, e20-e34+, e70-e89+)
G63.4;Polineuropatia w niedoborach żywieniowych (e40-e64+)
G63.5;Polineuropatia w układowych stanach chorobowych tkanki łącznej (m30-m35+)
G63.6;Polineuropatia w innych zaburzeniach układu kostno-mięśniowego (m00-m25+, m40-m96+)
G63.8;Polineuropatia w innych chorobach sklasyfikowanych gdzie indziej
G64;Inne zaburzenia obwodowego układu nerwowego
G70.0;Miastenia ciężka rzekomoporaźna
G70.1;Toksyczne zaburzenia nerwowo-mięśniowe
G70.2;Miastenia wrodzona i wieku rozwojowego
G70.8;Inne określone zaburzenia mięśniowo-nerwowe
G70.9;Zaburzenia mięśniowo-nerwowe, nieokreślone
G71.0;Dystrofia mięśniowa
G71.1;Zaburzenia miotoniczne
G71.2;Miopatie wrodzone
G71.3;Miopatia mitochondrialna niesklasyfikowana gdzie indziej
G71.8;Inne pierwotne zaburzenia mięśni
G71.9;Pierwotne zaburzenia mięśni, nieokreślone
G72.0;Miopatia polekowa
G72.1;Miopatia alkoholowa
G72.2;Miopatia wywołana innymi czynnikami toksycznymi
G72.3;Porażenie okresowe
G72.4;Miopatia zapalna niesklasyfikowana gdzie indziej
G72.8;Inne określone miopatie
G72.9;Miopatia, nieokreślona
G73.0;Zespoły miasteniczne w chorobach układu wewnątrzwydzielniczego
G73.1;Zespół Eatona-Lamberta (C80+)
G73.2;Inne zespoły miasteniczne w chorobach nowotworowych (c00-d48+)
G73.3;Zespoły miasteniczne w innych chorobach sklasyfikowanych gdzie indziej
G73.4;Miopatia w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
G73.5;Miopatia w chorobach układu wewnątrzwydzielniczego
G73.6;Miopatia w chorobach metabolicznych
G73.7;Miopatia w innych chorobach sklasyfikowanych gdzie indziej
G80.0;Kurczowe porażenie mózgowe
G80.1;Kurczowe porażenie obustronne
G80.2;Dziecięce porażenie połowicze
G80.3;Dyskinetyczne porażenie mózgowe
G80.4;Ataktyczne porażenie mózgowe
G80.8;Inne dziecięce porażenie mózgowe
G80.9;Dziecięce porażenie mózgowe, nieokreślone
G81.0;Wiotkie porażenie połowicze
G81.1;Kurczowe porażenie połowicze
G81.9;Porażenie połowicze, nieokreślone
G82.0;Wiotkie porażenie kończyn dolnych
G82.1;Kurczowe porażenie kończyn dolnych
G82.2;Porażenie kończyn dolnych, nieokreślone
G82.3;Wiotkie porażenie czterokończynowe
G82.4;Kurczowe porażenie czterokończynowe
G82.5;Porażenie czterokończynowe, nieokreślone
G83.0;Porażenie obustronne kończyn górnych
G83.1;Porażenie jednej kończyny dolnej
G83.2;Porażenie jednej kończyny górnej
G83.3;Porażenie jednej kończyny, nieokreślone
G83.4;Zespół ogona końskiego
G83.8;Inne określone zespoły porażenne
G83.9;Zespół porażenny, nieokreślony
G90.0;Samoistna obwodowa neuropatia wegetatywna
G90.1;Dysautonomia rodzinna [riley-daya]
G90.2;Zespół Hornera
G90.3;Zwyrodnienie wieloukładowe
G90.8;Inne zaburzenia układu wegetatywnego
G90.9;Zaburzenie układu wegetatywnego, nieokreślone
G91.0;Wodogłowie komunikujące
G91.1;Wodogłowie z niedrożnościami
G91.2;Wodogłowie normociśnieniowe [zespół hakima]
G91.3;Wodogłowie pourazowe, nieokreślone
G91.8;Inne wodogłowie
G91.9;Wodogłowie, nieokreślone
G92;Encefalopatia toksyczna
G93.0;Torbiele mózgu
G93.1;Uszkodzenie mózgu z niedotlenienia niesklasyfikowane gdzie indziej
G93.2;Łagodne nadciśnienie wewnątrzczaszkowe
G93.3;Powirusowy zespół zmęczenia
G93.4;Encefalopatia, nieokreślona
G93.5;Zespół uciskowy mózgu
G93.6;Obrzęk mózgu
G93.7;Zespół Reye`a
G93.8;Inne określone zaburzenia mózgu
G93.9;Zaburzenie mózgu, nieokreślone
G94.0;Wodogłowie w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej (a00-b99+)
G94.1;Wodogłowie w chorobach nowotworowych (c00-d48+)
G94.2;Wodogłowie w innych chorobach sklasyfikowanych gdzie indziej
G94.8;Inne określone zaburzenia mózgu w chorobach sklasyfikowanych gdzie indziej
G95.0;Jamistość rdzenia kręgowego i jamistość opuszki
G95.1;Mielopatie naczyniowe
G95.2;Zespół uciskowy rdzenia, nieokreślony
G95.8;Inne określone choroby rdzenia kręgowego
G95.9;Choroba rdzenia kręgowego, nieokreślona
G96.0;Wyciek płynu mózgowo-rdzeniowego
G96.1;Zaburzenia opon niesklasyfikowane gdzie indziej
G96.8;Inne określone zaburzenia ośrodkowego układu nerwowego
G96.9;Zaburzenie ośrodkowego układu nerwowego, nieokreślone
G97.0;Wyciek płynu mózgowo-rdzeniowego z nakłucia lędźwiowego
G97.2;Wewnątrzczaszkowe podciśnienie następujące po przetoce komorowej
G97.8;Inne pozabiegowe zaburzenia układu nerwowego, nieokreślone
G98;Inne zaburzenia układu nerwowego niesklasyfikowane gdzie indziej
G99.0;Neuropatia wegetatywna w chorobach układu wewnątrzwydzielniczego i metabolicznych
G99.1;Inne zaburzenia układu wegetatywnego w innych chorobach sklasyfikowanych gdzie indziej
G99.2;Mielopatia w chorobach sklasyfikowanych gdzie indziej
G99.8;Inne określone zaburzenia układu nerwowego w chorobach sklasyfikowanych gdzie indziej
I00;Choroba reumatyczna bez wzmianki o zajęciu serca
I01.0;Ostre reumatyczne zapalenie osierdzia
I01.1;Ostre reumatyczne zapalenie wsierdzia
I01.2;Ostre reumatyczne zapalenie mięśnia serca
I01.8;Inne ostre choroby reumatyczne serca
I01.9;Ostra choroba reumatyczna serca nieokreślona
I02.0;Pląsawica reumatyczna z zajęciem serca
I02.9;Pląsawica reumatyczna bez zajęcia serca
I05.0;Zwężenie lewego ujścia żylnego
I05.1;Reumatyczna niedomykalność zastawki dwudzielnej
I05.2;Zwężenie lewego ujścia żylnego z niedomykalnością
I05.8;Inne wady zastawki dwudzielnej
I05.9;Wada zastawki dwudzielnej, nieokreślona
I06.0;Reumatyczne zwężenie tętnicy głównej
I06.1;Reumatyczna niedomykalność zastawki tętnicy głównej
I06.2;Reumatyczne zwężenie lewego ujścia tętniczego z niedomykalnością zastawek
I06.8;Inne wady reumatyczne zastawki tętnicy głównej
I06.9;Wada reumatyczna zastawki tętnicy głównej, nieokreślona
I07.0;Zwężenie zastawki trójdzielnej
I07.1;Niedomykalność zastawki trójdzielnej
I07.2;Zwężenie zastawki trójdzielnej z niedomykalnością
I07.8;Inne wady zastawki trójdzielnej
I07.9;Wada zastawki trójdzielnej, nieokreślona
I08.0;Wady zastawek dwudzielnej i tętnicy głównej
I08.1;Wady zastawek dwudzielnej i trójdzielnej
I08.2;Wady zastawek tętnicy głównej i trójdzielnej
I08.3;Skojarzone wady zastawek dwudzielnej, trójdzielnej i tętnicy głównej
I08.8;Inne wady skojarzone wielu zastawek
I08.9;Wady wielu zastawek, nieokreślona
I09.0;Reumatyczne zapalenie mięśnia serca
I09.1;Reumatyczne choroby wsierdzia, zastawki, nieokreślone
I09.2;Przewlekłe reumatyczne zapalenie osierdzia
I09.8;Inne określone reumatyczne choroby serca
I09.9;Choroba reumatyczna serca, nieokreślona
I10;Samoistne (pierwotne) nadciśnienie
I11.0;Choroba nadciśnieniowa z zajęciem serca, z (zastoinową) niewydolnością serca
I11.9;Choroba nadciśnieniowa z zajęciem serca bez (zastoinowej) niewydolności serca
I12.0;Choroba nadciśnieniowa z zajęciem nerek, z niewydolnością nerek
I12.9;Choroba nadciśnieniowa z zajęciem nerek, bez niewydolności nerek
I13.0;Choroba nadciśnieniowa z zajęciem serca i nerek, z (zastoinową) niewydolnością serca
I13.1;Choroba nadciśnieniowa z zajęciem serca i nerek, z niewydolnością nerek
I13.2;Choroba nadciśnieniowa z zajęciem serca i nerek, tak z (zastoinową) niewydolnością serca jak i niewydolnością nerek
I13.9;Choroba nadciśnieniowa z zajęciem serca i nerek, nieokreślona
I15.0;Nadciśnienie naczyniowo-nerkowe
I15.1;Nadciśnienie wtórne do innej patologii nerek
I15.2;Nadciśnienie wtórne do zaburzeń układu wewnątrzwydzielniczego
I15.8;Inne wtórne nadciśnienie
I15.9;Nadciśnienie wtórne, nieokreślone
I20.0;Dusznica niestabilna
I20.1;Dusznica bolesna z udokumentowanym skurczem naczyń wieńcowych
I20.8;Inne postacie dusznicy bolesnej
I20.9;Dusznica bolesna, nieokreślona
I21.0;Ostry zawał serca pełnościenny ściany przedniej
I21.1;Ostry zawał serca pełnościenny ściany dolnej
I21.2;Ostry zawał serca pełnościenny o innej lokalizacji
I21.3;Ostry zawał serca pełnościenny o nieokreślonym umiejscowieniu
I21.4;Ostry zawał serca podwsierdziowy
I21.9;Ostry zawał serca, nieokreślony
I22.0;Ponowny zawał serca ściany przedniej
I22.1;Ponowny ostry zawał serca ściany dolnej
I22.8;Ponowny ostry zawał serca innych miejsc
I22.9;Ponowny ostry zawał serca o nieokreślonym umiejscowienu
I23.0;Krwiak osierdzia jako powikłanie występujące w czasie ostrego zawału serca
I23.1;Ubytek przegrody międzyprzedsionkowej jako powikłanie występujące w czasie ostrego zawału serca
I23.2;Ubytek przegrody międzykomorowej jako powikłanie występujące w czasie ostrego zawału serca
I23.3;Pęknięcie ściany serca bez krwiaka osierdzia jako powikłanie występujące w czasie ostrego zawału serca
I23.4;Pęknięcie strun ścięgnistych jako powikłanie występujące w czasie ostrego zawału serca
I23.5;Pęknięcie mięśnia brodawkowatego jako powikłanie występujące w czasie ostrego zawału serca
I23.6;Skrzeplina przedsionka, uszka przedsionka i komory jako powikłanie występujące w czasie ostrego zawału serca
I23.9;Inne powikłania występujące w czasie ostrego zawału serca
I24.0;Zakrzepica tętnicy wieńcowej bez zawału serca
I24.1;Zespół dresslera
I24.8;Inne postacie ostrej choroby niedokrwiennej serca
I24.9;Ostra choroba niedokrwienna serca, nieokreślona
I25.0;Choroba serca i naczyń krwionośnych w przebiegu miażdżycy
I25.1;Choroba serca w przebiegu miażdżycy
I25.2;Stary (przebyty) zawał serca
I25.3;Tętniak serca
I25.4;Tętniak naczyń wieńcowych
I25.5;Kardiomiopatia niedokrwienna
I25.6;Ciche (nieme) niedokrwienie serca
I25.8;Inne postacie przewlekłej choroby niedokrwiennej serca
I25.9;Przewlekła choroba niedokrwienna serca, nieokreślona
I26.0;Zator płucny ze wzmianką o ostrym sercu płucnym
I26.9;Zator płucny bez wzmianki o ostrym sercu płucnym
I27.0;Pierwotne nadciśnienie płucne
I27.1;Choroba serca w przebiegu kifoskoliozy
I27.8;Inne określone zespoły sercowo-płucne
I27.9;Zespół sercowo-płucny, nieokreślony
I28.0;Przetoka tętniczo-żylna naczyń płucnych
I28.1;Tętniak tętnicy płucnej
I28.8;Inne określone choroby naczyń płucnych
I28.9;Choroba naczyń płucnych, nieokreślona
I30.0;Ostre nieokreślone samoistne zapalenie osierdzia
I30.1;Zapalenie osierdzia zakaźne
I30.8;Inne postacie ostrego zapalenia osierdzia
I30.9;Ostre zapalenie osierdzia, nieokreślone
I31.0;Przewlekłe zarostowe zapalenie osierdzia
I31.1;Przewlekłe zaciskające zapalenie osierdzia
I31.2;Krwiak osierdzia niesklasyfikowany gdzie indziej
I31.3;Płyn w worku osierdziowym (niezapalny)
I31.8;Inne określone choroby osierdzia
I31.9;Choroba osierdzia, nieokreślona
I32.0;* Zapalenie osierdzia w chorobach bakteryjnych sklasyfikowanych gdzie indziej
I32.1;* Zapalenie osierdzia w innych chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
I32.8;* Zapalenie osierdzia w innych chorobach sklasyfikowanych gdzie indziej
I33.0;Ostre i podostre zakaźne zapalenie wsierdzia
I33.9;Ostre zapalenie wsierdzia, nieokreślone
I34.0;Niedomykalność zastawki dwudzielnej
I34.1;Wypadanie płatka(-ów) zastawki dwudzielnej
I34.2;Niereumatyczne zwężenie zastawki dwudzielnej
I34.8;Inne niereumatyczne zaburzenia funkcji zastawki dwudzielnej
I34.9;Niereumatyczne zaburzenia funkcji zastawki dwudzielnej, nieokreślone
I35.0;Zwężenie zastawki tętnicy głównej
I35.1;Niedomykalność zastawki tętnicy głównej
I35.2;Zwężenie zastawki tętnicy głównej z niedomykalnością
I35.8;Inne zaburzenia funkcji zastawki tętnicy głównej
I35.9;Zaburzenia funkcji zastawki tętnicy głównej, nieokreślone
I36.0;Niereumatyczne zwężenie zastawki trójdzielnej
I36.1;Niereumatyczna niedomykalność zastawki trójdzielnej
I36.2;Niereumatyczne zwężenie zastawki trójdzielnej z niedomykalnością
I36.8;Inne niereumatyczne zaburzenia funkcji zastawki trójdzielnej
I36.9;Niereumatyczne zaburzenia funkcji zastawki trójdzielnej, nieokreślone
I37.0;Zwężenie zastawki pnia płucnego
I37.1;Niedomykalność zastawki pnia płucnego
I37.2;Zwężenie zastawki pnia płucnego z niedomykalnością
I37.8;Inne zaburzenia funkcji zastawki pnia płucnego
I37.9;Zaburzenia funkcji zastawki pnia płucnego, nieokreślone
I38;Zapalenie wsierdzia, zastawki, nieokreślone
I39.0;* Zaburzenia funkcji zastawki dwudzielnej w chorobach sklasyfikowanych gdzie indziej
I39.1;* Zaburzenia funkcji zastawki tętnicy głównej w chorobach sklasyfikowanych gdzie indziej
I39.2;* Zaburzenia funkcji zastawki trójdzielnej w chorobach sklasyfikowanych gdzie indziej
I39.3;* Zaburzenia funkcji zastawki pnia płucnego w chorobach sklasyfikowanych gdzie indziej
I39.4;* Zaburzenia funkcji wielu zastawek w chorobach sklasyfikowanych gdzie indziej
I39.8;* Zapalenie wsierdzia, zastawki, nie określone, w chorobach sklasyfikowanych gdzie indziej
I40.0;Infekcyjne zapalenie mięśnia sercowego
I40.1;Izolowane zapalenie mięśnia sercowego
I40.8;Inne ostre zapalenie mięśnia sercowego
I40.9;Ostre zapalenie mięśnia sercowego, nieokreślone
I41.0;* Zapalenie mięśnia sercowego w chorobach bakteryjnych sklasyfikowanych gdzie indziej
I41.1;* Zapalenie mięśnia sercowego w chorobach wirusowych sklasyfikowanych gdzie indziej
I41.2;* Zapalenie mięśnia sercowego w innych chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
I41.8;* Zapalenie mięśnia sercowego w innych chorobach sklasyfikowanych gdzie indziej
I42.0;Kardiomiopatia rozstrzeniowa
I42.1;Przerostowa kardiomiopatia zawężająca
I42.2;Inne kardiomiopatie przerostowe
I42.3;Choroba wsierdzia (eozynofilowa)
I42.4;Zwłóknienie sprężyste wsierdzia (fibroelastoza wsierdzia)
I42.5;Inne kardiomiopatie zaciskające (restrykcyjne)
I42.6;Kardiomiopatia alkoholowa
I42.7;Kardiomiopatia wywołana przez leki i inne czynniki zewnętrzne
I42.8;Inne kardiomiopatie
I42.9;Kardiomiopatia, nieokreślona
I43.0;* Kardiomiopatia w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
I43.1;* Kardiomiopatia w chorobach metabolicznych
I43.2;* Kardiomiopatia w chorobach z niedoborów pokarmowych
I43.8;* Kardiomiopatia w innych chorobach sklasyfikowanych gdzie indziej
I44.0;Blok przedsionkowo-komorowy pierwszego stopnia
I44.1;Blok przedsionkowo-komorowy drugiego stopnia
I44.2;Blok przedsionkowo-komorowy zupełny
I44.3;Inne i nieokreślone bloki przedsionkowo-komorowe
I44.4;Blok przedniej gałęzi lewej odnogi
I44.5;Blok tylnej gałęzi lewej odnogi
I44.6;Inny i nieokreślony blok gałęzi
I44.7;Blok lewej odnogi pęczka przedsionkowo-komorowego Hisa, nieokreślony
I45.0;Blok prawej odnogi
I45.1;Inne i nieokreślone bloki prawej odnogi pęczka przedsionkowo-komorowego hisa
I45.2;Blok dwugałęziowy
I45.3;Blok trójgałęziowy
I45.4;Nieokreślony blok wewnątrzkomorowy
I45.5;Inny określony blok serca
I45.6;Zespół preekscytacji
I45.8;Inne określone zaburzenia przewodnictwa
I45.9;Zaburzenie przewodnictwa, nieokreślone
I46.0;Zatrzymanie krążenia ze skuteczną resuscytacją
I46.1;Nagła śmierć sercowa, tak opisana
I46.9;Zatrzymanie krążenia, nieokreślone
I47.0;Komorowe zaburzenia rytmu typu fali nawrotowej (re-entry)
I47.1;Częstoskurcz nadkomorowy
I47.2;Częstoskurcz komorowy
I47.9;Częstoskurcz napadowy, nieokreślony
I48;Migotanie i trzepotanie przedsionków
I49.0;Migotanie i trzepotanie komór
I49.1;Przedwczesna depolaryzacja przedsionkowa
I49.2;Przedwczesna depolaryzacja (pobudzenie) z łącza przedsionkowo-komorowego
I49.3;Przedwczesna depolaryzacja (pobudzenie) komór
I49.4;Inne i nieokreślone przedwczesne depolaryzacje (pobudzenia)
I49.5;Zespół chorej zatoki
I49.8;Inne określone zaburzenia rytmu serca
I49.9;Zaburzenia rytmu serca, nieokreślone
I50.0;Niewydolność serca zastoinowa
I50.1;Niewydolność serca lewokomorowa
I50.9;Niewydolność serca, nieokreślona
I51.0;Ubytek przegody serca, nabyty
I51.1;Pęknięcie struny ścięgnistej niesklasyfikowane gdzie indziej
I51.2;Pęknięcie mięśnia brodawkowatego niesklasyfikowane gdzie indziej
I51.3;Zakrzep (skrzeplina) wewnątrzsercowy niesklasyfikowany gdzie indziej
I51.4;Zapalenie mięśnia serca, nieokreślone
I51.5;Zwyrodnienie mięśnia serca
I51.6;Choroby serca i naczyń krwionośnych, nieokreślone
I51.7;Powiększenie serca
I51.8;Inne niedokładnie określone choroby serca
I52.0;* Inne zaburzenia funkcji serca w chorobach bakteryjnych sklasyfikowanych gdzie indziej
I52.1;* Inne zaburzenia funkcji serca w innych chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
I52.8;* Inne zaburzenia funkcji serca w innych chorobach sklasyfikowanych gdzie indziej
I60.0;Krwotok podpajęczynówkowy z syfonu lub rozwidlenia tętnicy szyjnej wewnętrznej
I60.1;Krwotok podpajęczynówkowy z tętnicy środkowej mózgu
I60.2;Krwotok podpajęczynówkowy z tętnicy łączącej przedniej
I60.3;Krwotok podpajęczynówkowy z tętnicy łączącej tylnej
I60.4;Krwotok podpajęczynówkowy z tętnicy podstawnej
I60.5;Krwotok podpajęczynówkowy z tętnicy kręgowej
I60.6;Krwotok podpajęczynówkowy z innych tętnic wewnątrzczaszkowych
I60.7;Krwotok podpajęczynówkowy z tętnicy wewnątrzczaszkowej, nieokreślony
I60.8;Inne krwotoki podpajęczynówkowe
I60.9;Krwotok podpajęczynówkowy, nieokreślony
I61.0;Krwotok mózgowy do półkul, podkorowy
I61.1;Krwotok mózgowy do półkul, korowy
I61.2;Krwotok mózgowy do półkul, nieokreślony
I61.3;Krwotok mózgowy do pnia mózgu
I61.4;Krwotok mózgowy do móżdżku
I61.5;Krwotok mózgowy wewnątrzkomorowy
I61.6;Krwotok mózgowy o mnogim umiejscowieniu
I61.8;Inne krwotoki mózgowe
I61.9;Krwotok mózgowy, nieokreślony
I62.0;Krwotok pod oponą twardą (ostry) (nieurazowy)
I62.1;Nieurazowy krwotok nad oponą twardą
I62.9;Krwotok mózgowy (nieurazowy), nieokreślony
I63.0;Zawał mózgu wywołany przez zakrzep tętnic przedmózgowych
I63.1;Zawał mózgu wywołany przez zator tętnic przedmózgowych
I63.2;Zawał mózgu wywołany przez nieokreśloną niedrożność lub zwężenie tętnic przedmózgowych
I63.3;Zawał mózgu wywołany przez zakrzep tętnic mózgowych
I63.4;Zawał mózgu wywołany przez zator tętnic mózgowych
I63.5;Zawał mózgu wywołany przez nieokreśloną niedrożność lub zwężenie tętnic mózgowych
I63.6;Zawał mózgu wywołany przez zakrzep żył mózgowych, nieropny
I63.8;Inne zawały mózgu
I63.9;Zawał mózgu, nieokreślony
I64;Udar, nieokreślony jako krwotoczny lub zawałowy
I65.0;Niedrożność i zwężenie tętnicy kręgowej
I65.1;Niedrożność i zwężenie tętnicy podstawnej
I65.2;Niedrożność i zwężenie tętnicy szyjnej wewnętrznej
I65.3;Niedrożność i zwężenie tętnic przedmózgowych, mnogie i obustronne
I65.8;Niedrożność i zwężenie innych tętnic przedmózgowych
I65.9;Niedrożność i zwężenie nieokreślonych tętnic przedmózgowych
I66.0;Niedrożność i zwężenie tętnicy środkowej mózgu
I66.1;Niedrożność i zwężenie tętnicy przedniej mózgu
I66.2;Niedrożność i zwężenie tętnicy tylnej mózgu
I66.3;Niedrożność i zwężenie tętnic móżdżku
I66.4;Niedrożność i zwężenie tętnic mózgowych, mnogie i obustronne
I66.8;Niedrożność i zwężenie innych tętnic mózgowych
I66.9;Niedrożność i zwężenie nieokreślonych tętnic mózgowych
I67.0;Rozwarstwienie tętnic mózgowych, niepęknięte
I67.1;Tętniak mózgu, niepęknięty
I67.2;Miażdżyca tętnic mózgowych
I67.3;Postępująca naczyniowa leukoencefalopatia
I67.4;Encefalopatia nadciśnieniowa
I67.5;Choroba Moyamoya
I67.6;Nieropny zakrzep układu żylnego wewnątrzczaszkowego
I67.7;Zapalenie tętnic mózgowych, niesklasyfikowanych gdzie indziej
I67.8;Inne określone choroby naczyń mózgowych
I67.9;Choroba naczyń mózgowych, nieokreślona
I69.0;Następstwa krwotoku podpajęczynówkowego
I69.1;Następstwa krwotoku mózgowego
I69.2;Następstwa innych nieurazowych krwotoków wewnątrzczaszkowych
I69.3;Następstwa zawału mózgu
I69.4;Następstwa udaru nieokreślone czy krwotoczny czy zawałowy
I69.8;Następstwa innych i nieokreślonych chorób naczyń mózgowych
I70.0;Miażdżyca tętnicy głównej (aorty)
I70.1;Miażdżyca tętnicy nerkowej
I70.2;Miażdżyca tętnic kończyn
I70.8;Miażdżyca innych tętnic
I70.9;Uogólniona i nieokreślona miażdżyca
I71.0;Tętniak rozwarstwiający tętnicy głównej (każdego odcinka)
I71.1;Tętniak odcinka piersiowego tętnicy głównej, pęknięty
I71.2;Tętniak odcinka piersiowego tętnicy głównej, bez wzmianki o pęknięciu
I71.3;Tętniak odcinka brzusznego tętnicy głównej, pęknięty
I71.4;Tętniak odcinka brzusznego tętnicy głównej, bez wzmianki o pęknięciu
I71.5;Tętniak odcinka piersiowo-brzusznego tętnicy głównej, pęknięty
I71.6;Tętniak odcinka piersiowo-brzusznego tętnicy głównej, bez wzmianki o pęknięciu
I71.8;Tętniak tętnicy głównej o nieokreślonym umiejscowieniu, pęknięty
I71.9;Tętniak tętnicy głównej o nieokreślonym umiejscowieniu, bez wzmianki o pęknięciu
I72.0;Tętniak tętnicy szyjnej
I72.1;Tętniak tętnicy kończyny górnej
I72.2;Tętniak tętnicy nerkowej
I72.3;Tętniak tętnicy biodrowej (wspólnej) (zewnętrznej) (wewnętrznej)
I72.4;Tętniak tętnicy kończyny dolnej
I72.8;Tętniak innych określonych tętnic
I72.9;Tętniak o nieokreślonym umiejscowieniu
I73.0;Zespół Reynauda
I73.1;Zakrzepowo-zarostowe zapalenie naczyń [buergera]
I73.8;Inne określone choroby naczyń obwodowych
I73.9;Choroba naczyń obwodowych, nieokreślona
I74.0;Zator i zakrzep brzusznej części tętnicy głównej
I74.1;Zator i zakrzep innych i nieokreślonych odcinków tętnicy głównej
I74.2;Zator i zakrzep tętnic kończyn górnych
I74.3;Zator i zakrzep tętnic kończyn dolnych
I74.4;Zator i zakrzep tętnic kończyn, nieokreślony
I74.5;Zator i zakrzep tętnicy biodrowej (wspólnej) (zewnętrznej) (wewnętrznej)
I74.8;Zator i zakrzep innych tętnic
I74.9;Zator i zakrzep tętnicy, nie określonej
I77.0;Przetoka tętniczo-żylna (nabyta)
I77.1;Zwężenie tętnicy
